MUNI_ID,MUNI_str
9997,On board ship
101,Halden
103,Fredrikstad
104,Moss
301,Oslo/Kristiana
602,Drammen
702,Holmestrand
703,Horten
705,Tønsberg
706,Sandefjord
707,Larvik
801,Kragerø
806,Skien
903,Arendal
1001,Kristiansand
1002,Mandal
1004,Flekkefjord
1101,
1102,Sandnes
1103,Stavanger
1105,Kopervik
1106,Haugesund
1301,Bergen
1441,Selje
1501,
1502,Molde
1503,Kristiansund
1601,Trondheim
1702,Steinkjer
1703,Namsos
1802,Mosjøen
1804,Bodø
1865,Vågan
1902,Tromsø
2001,Hammerfest
2003,Vadsø
2012,Alta
102,Sarpsborg
111,Hvaler
113,
114,Varteig
115,Skjeberg
116,
117,Idd
118,Aremark
120,Rødenes
122,Trøgstad
123,Spydeberg
124,Askim
125,Eidsberg
127,Skiptvet
128,Rakkestad
130,Tune
132,Glemmen
134,Onsøy
135,Råde
136,Rygge
137,
138,Hobøl
194,Moss landsogn
201,Son
202,Hvitsten
203,Drøbak
204,Hølen
211,Vestby
212,Kråkstad
214,Ås
215,Frogn
216,Nesodden
218,Østre Aker
219,Bærum
220,Asker
221,Søndre Høland
224,Aurskog
226,Sørum
227,Fet
229,Enebakk
231,Skedsmo
233,Nittedal
234,Gjerdrum
235,Ullensaker
236,
237,Eidsvoll
238,Nannestad
239,Hurdal
240,Feiring
401,Hamar
402,Kongsvinger
411,
412,Ringsaker
413,Furnes
414,
415,Løten
416,Romedal
417,Stange
418,Nord-Odal
419,Sør-Odal
420,Eidskog
421,Vinger
422,Brandval
423,Grue
424,
425,Åsnes
426,Våler
427,Elverum
428,Trysil
429,Åmot
430,Stor-Elvdal
431,Sollia
432,Ytre Rendal
433,Øvre Rendal
436,Tolga
437,Tynset
438,Alvdal
440,Kvikne
501,Lillehammer
502,Gjøvik
511,Dovre
512,Lesja
513,Skjåk
514,Lom
515,Vågå
518,Nord-Fron
519,Sør-Fron
520,Ringebu
521,Øyer
522,Østre Gausdal
523,Vestre Gausdal
524,Fåberg
525,Biri
527,Vardal
528,Østre Toten
529,Vestre Toten
532,Jevnaker
533,Lunner
534,Gran
535,Brandbu
536,Søndre Land
538,Nordre Land
540,Sør-Aurdal
541,Etnedal
542,Nord-Aurdal
543,Vestre Slidre
544,Øystre Slidre
545,Vang
601,Hønefoss
603,Holmsbu
604,Kongsberg
612,Hole
613,Norderhov
614,Ådal
616,
617,Gol
618,Hemsedal
619,Ål
620,
621,Sigdal
623,Modum
624,Øvre Eiker
625,Nedre Eiker
626,Lier
627,Røyken
628,Hurum
629,Ytre Sandsvær
631,Flesberg
632,Rollag
633,Nore
701,Svelvik
704,Åsgårdstrand
711,Svelvig
712,Skoger
713,
714,Hof
715,Botne
716,Våle
717,Borre
718,Ramnes
719,Andebu
720,Stokke
721,Sem
722,Nøtterøy
723,Tjøme
724,Sandar
725,Tjølling
726,Brunlanes
727,Hedrum
728,Lardal
798,Fredriksværn
802,Langesund
803,Stathelle
804,Brevik
805,Porsgrunn
811,Siljan
812,Gjerpen
813,Eidanger
814,Bamble
815,Skåtøy
816,Sannidal
817,Drangedal
818,Solum
819,Holla
820,Lunde
821,
822,Sauherad
823,Heddal
824,Gransherad
825,Hovin
826,Tinn
827,Hjartdal
828,Seljord
829,Kviteseid
830,Nissedal
831,Fyresdal
832,
833,Lårdal
834,
835,Rauland
901,Risør
902,Tvedestrand
904,Grimstad
905,Lillesand
911,Gjerstad
912,Vegårshei
913,Sønderled
914,Holt
915,Dypvåg
918,Moland
919,Froland
920,Øyestad
921,Tromøy
922,Hisøy
923,Fjære
924,Landvik
925,
926,Vestre Moland
927,Høvåg
928,Birkenes
929,Åmli
932,Mykland
933,Herefoss
934,Vegusdal
935,Iveland
936,Hornnes
937,Evje
938,Bygland
940,Valle
990,Barbu
1003,Farsund
1011,Randesund
1012,Oddernes
1013,Tveit
1014,Vennesla
1015,Hægeland
1016,Øvrebø
1018,Søgne
1019,Halse and Hartmark
1020,Holum
1021,Øyslebø
1022,Laudal
1023,Finsland
1024,Bjelland
1026,Åseral
1028,Vigmostad
1029,Sør-Audnedal
1030,Spangereid
1032,Lyngdal
1034,Hægebostad
1036,Fjotland
1037,Kvinesdal
1038,Feda
1039,Herad
1040,Spind
1041,Lista
1042,Hidra
1043,
1044,Gyland
1045,Bakke
1104,Skudeneshavn
1107,Sogndal ladested
1111,Sokndal
1112,Lund
1113,Heskestad
1114,Bjerkreim
1115,Helleland
1116,Egersund
1117,Ogna
1118,Varhaug
1119,Nærbø
1120,Klepp
1121,Time
1122,Gjestal
1123,Høyland
1124,Sola
1126,Hetland
1128,Høle
1129,Forsand
1130,Strand
1131,
1132,Fister
1133,Hjelmeland
1134,Suldal
1135,Sauda
1136,Sand
1138,Jelsa
1139,Nedstrand
1140,Sjernarøy
1141,Finnøy
1142,Rennesøy
1143,Mosterøy
1145,Bokn
1146,Tysvær
1147,Avaldsnes
1149,Åkra
1150,Skudenes
1152,Torvastad
1153,Skåre
1154,Skjold
1155,Vats
1157,Vikedal
1211,Etne
1212,Skånevik
1213,Fjelberg
1216,Sveio
1217,Valestrand
1218,Moster
1221,Stord
1222,Fitjar
1223,Tysnes
1224,Kvinnherad
1226,Strandebarm
1227,Jondal
1229,Røldal
1230,Ullensvang
1232,Eidfjord
1233,Ulvik
1234,Granvin
1235,Voss
1236,Vossestrand
1237,Evanger
1238,
1241,Fusa
1243,Os
1244,Austevoll
1245,Sund
1246,Fjell
1247,Askøy
1249,Fana
1250,Haus
1251,Bruvik
1253,Hosanger
1254,Hamre
1257,Alversund
1258,Herdla
1261,Manger
1263,Lindås
1266,Masfjorden
1280,Årstad
1401,Florø
1411,Gulen
1412,Solund
1413,Hyllestad
1415,Lavik
1416,Kyrkjebø
1417,Vik
1418,Balestrand
1419,Leikanger
1420,Sogndal
1421,Aurland
1422,Lærdal
1423,
1424,Årdal
1425,Hafslo
1426,Luster
1427,Jostedal
1428,Askvoll
1429,Fjaler
1430,Gaular
1431,Jølster
1432,Førde
1433,Naustdal
1434,Vevring
1437,Kinn
1438,Bremanger
1442,Davik
1443,
1444,Hornindal
1445,Gloppen
1446,Breim
1447,Innvik
1448,
1511,Vanylven
1514,Sande
1515,
1516,Ulstein
1519,Volda
1520,Ørsta
1521,Vartdal
1522,Hjørundfjord
1523,Sunnylven
1524,Norddal
1525,Stranda
1526,Stordal
1527,Ørskog
1528,Sykkylven
1529,Skodje
1531,Borgund
1533,Vigra
1534,Haram
1535,Vestnes
1536,Tresfjord
1537,Voll
1538,Eid
1539,Grytten
1541,Veøy
1542,Eresfjord and Vistdal
1543,Nesset
1544,Bolsøy
1545,Sør-Aukra
1546,Sandøy
1548,Fræna
1549,Bud
1551,Eide
1552,Kornstad
1553,Kvernes
1554,Bremsnes
1555,Grip
1556,Frei
1557,Gjemnes
1558,Øre
1559,Straumsnes
1560,Tingvoll
1561,Øksendal
1562,Ålvundeid
1563,Sunndal
1564,Stangvik
1565,Åsskard
1566,Surnadal
1567,Rindal
1569,Aure
1570,Valsøyfjord
1571,Halsa
1572,Tustna
1573,Edøy
1612,Hemne
1616,Fillan
1617,Hitra
1619,Sør-Frøya
1621,Ørland
1622,Agdenes
1624,Rissa
1625,Stadsbygd
1626,Stjørna
1627,Bjugn
1628,Nes
1629,Jøssund
1630,Åfjord
1631,Stoksund
1632,Roan
1633,Osen
1634,Opdal
1635,Rennebu
1636,Meldal
1638,Orkdal
1640,Røros
1644,Ålen
1645,Haltdalen
1646,Singsås
1647,Budal
1648,Støren
1649,Soknedal
1650,Horg
1651,Hålonda
1652,Flå
1653,Melhus
1654,Leinstrand
1655,Byneset
1656,Buvik
1657,Skaun
1658,Børsa
1660,Strinda
1661,Tiller
1662,Klæbu
1663,Malvik
1664,Selbu
1701,Levanger
1711,Meråker
1712,Hegra
1714,Stjørdal
1716,Åsen
1717,Frosta
1718,Leksvik
1719,Skogn
1720,Frol
1721,Verdal
1722,Ytterøy
1723,Mosvik
1727,Beitstad
1729,Inderøy
1731,Sparbu
1732,Ogndal
1733,Egge
1734,Stod
1736,Snåsa
1737,Sørli
1742,Grong
1744,Overhalla
1745,Vemundvik
1746,Klinga
1748,Fosnes
1749,Flatanger
1750,Vikna
1751,Nærøy
1752,Kolvereid
1753,Foldereid
1755,Leka
1811,Bindal
1813,Velfjord
1814,Brønnøy
1815,Vega
1817,Tjøtta
1818,Herøy
1820,Alstahaug
1821,Sandnessjøen
1824,Vefsn
1826,Hattfjelldal
1827,Dønna
1828,Nesna
1832,Hemnes
1833,Rana
1834,Lurøy
1835,Træna
1836,Rødøy
1837,Meløy
1838,Gildeskål
1839,Beiarn
1840,Saltdal
1842,Skjerstad
1843,Bodin
1845,Sørfold
1846,Nordfold
1847,Leiranger
1848,Steigen
1849,Hamarøy
1850,Tysfjord
1851,Lødingen
1853,Evenes
1855,Ankenes
1857,Værøy
1859,Flakstad
1860,Buksnes
1862,Borge
1864,Gimsøy
1866,Hadsel
1867,Bø
1868,Øksnes
1870,Sortland
1872,Dverberg
1911,Kvæfjord
1914,Trondenes
1915,Bjarkøy
1917,Ibestad
1921,Salangen
1922,Bardu
1924,Målselv
1925,Sørreisa
1926,Dyrøy
1927,Tranøy
1929,Berg
1930,Hillesøy
1931,Lenvik
1932,Malangen
1933,Balsfjord
1934,Tromsøysund
1935,Helgøy
1936,Karlsøy
1938,Lyngen
1941,Skjervøy
1942,Nordreisa
1943,Kvænangen
2002,Vardø
2011,Kautokeino
2013,Talvik
2014,Loppa
2015,Hasvik
2016,Sørøysund
2017,Kvalsund
2018,Måsøy
2019,Nordkapp
2020,Kistrand
2021,Karasjok
2022,Lebesby
2025,Tana
2027,Nesseby
2028,Båtsfjord
2029,Nord-Varanger
2030,Sør-Varanger
,
1400,Sogn and fjordane
301,Oslo
1501,Ålesund
1228,Odda
916,Flosta
1861,Hol
1700,Nord-Trøndelag
213,Ski
917,Stokken
800,Telemark
1200,Hordaland
1220,Bremnes
1448,Stryn
600,Buskerud
1726,Malm
1812,Sømna
1913,Skånland
1871,Andøy
1214,Ølen
500,Oppland
1800,Nordland
1530,Vatne
1512,Syvde
1225,Varaldsøy
1517,Hareid
1615,Sandstad
1240,Strandvik
1724,Verran
1901,Harstad
1532,Giske
2024,Berlevåg
1259,Øygarden
228,Rælingen
100,Østfold
112,Torsnes
129,Degernes
1739,Røyrvik
225,Blaker
200,Akershus
611,Tyristrand
232,Lillestrøm
119,Øymark
400,Hedmark
622,Krødsherad
700,Vestfold
217,Oppegård
133,Kråkerøy
2023,Gamvik
1500,Møre and Romsdal
1100,Rogaland
1219,Bømlo
1248,Laksevåg
1513,Rovde
1027,Konsmo
1017,Songdalen
131,Rolvsøy
126,Mysen
121,Rømskog
223,Setskog
2000,Finnmark
1033,Kvås
900,Aust-Agder
615,
1262,Sæbø
230,Lørenskog
439,Folldal
1144,Kvitsøy
1805,Narvik
1046,Tonstad
539,Torpa
517,Sel
1031,Austad
1858,Moskenes
1242,Samnanger
1574,Brattvær
1844,Kjerringøy
516,Heidal
634,Uvdal
1025,Grindheim
434,Engerdal
1641,Røros landsogn
930,Gjøvdal
531,Kolbu
931,Tovdal
1540,Hen
939,Hylestad
435,
1869,Langenes
1806,Svolvær
1035,Eiken
526,Snertingdal
1939,Storfjord
1873,Andenes
537,Fluberg
1156,Imsland
1600,Sør-Trøndelag
1151,Utsira
1738,Lierne
1231,Kinsarvik
1863,Valberg
1665,Tydal
580,Solliden
630,Øvre Sandsvær
1550,Hustad
1725,Namdalseid
941,Bykle
1822,Leirfjord
1900,Troms
1137,Erfjord
1928,Torsken
1148,Stangaland
1743,Høylandet
1740,Namsskogan
1623,Lensvik
1713,Lånke
1841,Fauske
1715,Skatval
1256,Meland
1264,Austrheim
1801,Brønnøysund
1255,Åsane
1265,Fedje
807,Notodden
1000,Vest-Agder
1047,Øvre Sirdal
1940,Kåfjord
1215,Vikebygd
1816,Vevelstad
1125,Madla
1127,Randaberg
1158,Sandeid
1281,Bergen korskirkes landdistrikt
1518,Dalsfjord
1252,Modalen
1239,Hålandsdal
1414,Brekke
1854,Ballangen
1435,Eikefjord
1440,Nord-Vågsøy
1436,Bru
1912,Sandtorg
1575,Hopen
1618,Kvenvær
1611,Vinje
1613,Snillfjord
1659,Geitastrand
1747,Otterøy
1735,Kvam
1856,Røst
1937,Ullsfjord
1741,Harran
1754,Gravvik
1643,Glåmos
1852,Tjeldsund
1825,Grane
1830,Korgen
1831,Sør-Rana
1920,Lavangen
1823,Drevja
1919,Gratangen
1918,Astafjord
2026,Polmak
