OCC_ID,OCC_str,template
8_982_98200,Plant and machine operators and assemblers_Ships' engineroom ratings_Ship's engine men,Occupation: Plant and machine operators and assemblers_Ships' engineroom ratings_Ship's engine men
3_42_4220,Technicians and associate professionals_Ships' deck officers and pilots_Ship's masters and captains (sea),Occupation: Technicians and associate professionals_Ships' deck officers and pilots_Ship's masters and captains (sea)
8_969_96240,Plant and machine operators and assemblers_Stationary engine and related equipment operators not elsewhere classified_Stationary firemen and firemen nfs,Occupation: Plant and machine operators and assemblers_Stationary engine and related equipment operators not elsewhere classified_Stationary firemen and firemen nfs
3_42_4250,Technicians and associate professionals_Ships' deck officers and pilots_Ship's navigating officers and ship's mates,Occupation: Technicians and associate professionals_Ships' deck officers and pilots_Ship's navigating officers and ship's mates
5_520_52030,Service workers and shop and market sales_Housekeeping and related service supervisors_Stewards,Occupation: Service workers and shop and market sales_Housekeeping and related service supervisors_Stewards
8_981_98120,"Plant and machine operators and assemblers_Ships' deck ratings, barge crews and boatmen_Seamen","Occupation: Plant and machine operators and assemblers_Ships' deck ratings, barge crews and boatmen_Seamen"
<NA>_<NA>_<NA>,__,Occupation: __
7_954_95420,"Crafts and related trades workers_Carpenters, joiners and parquetry workers_Carpenters","Occupation: Crafts and related trades workers_Carpenters, joiners and parquetry workers_Carpenters"
3_42_4230,Technicians and associate professionals_Ships' deck officers and pilots_Ship's masters and captains (sea or inland waterways),Occupation: Technicians and associate professionals_Ships' deck officers and pilots_Ship's masters and captains (sea or inland waterways)
9_971_97140,Elementary occupations_Dockers and freight handlers_Porters,Occupation: Elementary occupations_Dockers and freight handlers_Porters
5_540_54010,Service workers and shop and market sales_Maids and related housekeeping service workers not elsewhere classified_Servants nfs,Occupation: Service workers and shop and market sales_Maids and related housekeeping service workers not elsewhere classified_Servants nfs
5_531_53100,Service workers and shop and market sales_Cooks_Cooks,Occupation: Service workers and shop and market sales_Cooks_Cooks
5_532_53220,"Service workers and shop and market sales_Waiters, bartenders and related workers_Waiter or waitress","Occupation: Service workers and shop and market sales_Waiters, bartenders and related workers_Waiter or waitress"
7_799_79920,"Crafts and related trades workers_Tailors, dressmakers, sewers, upholsterers and related workers not elsewhere classified_Sail, tent and awning makers","Occupation: Crafts and related trades workers_Tailors, dressmakers, sewers, upholsterers and related workers not elsewhere classified_Sail, tent and awning makers"
2_53_5300,Professionals_Agronomists and related scientists_Agronomists and related scientists,Occupation: Professionals_Agronomists and related scientists_Agronomists and related scientists
7_879_87540,"Crafts and related trades workers_Other plumbers, welders, sheet metal and structural metal preparers and erectors_Ship's carpenters","Occupation: Crafts and related trades workers_Other plumbers, welders, sheet metal and structural metal preparers and erectors_Ship's carpenters"
5_510_51030,Service workers and shop and market sales_Working proprietors (catering and lodging services)_Restaurant keepers and managers,Occupation: Service workers and shop and market sales_Working proprietors (catering and lodging services)_Restaurant keepers and managers
7_834_83400,Crafts and related trades workers_Machinetool operators_Machinists,Occupation: Crafts and related trades workers_Machinetool operators_Machinists
5_582_58300,Service workers and shop and market sales_Policemen and detectives_Watchmen and guards,Occupation: Service workers and shop and market sales_Policemen and detectives_Watchmen and guards
1_219_22110,"Legislators, senior officials and managers_Managers not elsewhere classified_Superintendents and managers nfs","Occupation: Legislators, senior officials and managers_Managers not elsewhere classified_Superintendents and managers nfs"
1_219_22180,"Legislators, senior officials and managers_Managers not elsewhere classified_Superintendents and managers, commerce","Occupation: Legislators, senior officials and managers_Managers not elsewhere classified_Superintendents and managers, commerce"
9_990_99130,Elementary occupations_Labourers not elsewhere classified_Common labourers or general labourers,Occupation: Elementary occupations_Labourers not elsewhere classified_Common labourers or general labourers
7_879_87530,"Crafts and related trades workers_Other plumbers, welders, sheet metal and structural metal preparers and erectors_Shipwrights and ship joiners","Occupation: Crafts and related trades workers_Other plumbers, welders, sheet metal and structural metal preparers and erectors_Shipwrights and ship joiners"
3_42_4260,Technicians and associate professionals_Ships' deck officers and pilots_Ship and boat pilots,Occupation: Technicians and associate professionals_Ships' deck officers and pilots_Ship and boat pilots
2_22_2200,Professionals_Civil engineers_Civil engineers,Occupation: Professionals_Civil engineers_Civil engineers
2_139_13300,Professionals_Teachers not elsewhere classified_School administrators and principals,Occupation: Professionals_Teachers not elsewhere classified_School administrators and principals
8_985_98550,Plant and machine operators and assemblers_Motor vehicle drivers_Delivery men and drivers of goods,Occupation: Plant and machine operators and assemblers_Motor vehicle drivers_Delivery men and drivers of goods
10_995_58430,Armed forces_Armed forces_Other members of the armed forces,Occupation: Armed forces_Armed forces_Other members of the armed forces
5_582_58220,"Service workers and shop and market sales_Policemen and detectives_Policemen and detectives, public service","Occupation: Service workers and shop and market sales_Policemen and detectives_Policemen and detectives, public service"
4_310_31040,Clerks_Government executive officials_Customs officers,Occupation: Clerks_Government executive officials_Customs officers
4_339_33130,"Clerks_Bookkeepers, cashiers and related workers not elsewhere classified_Cashiers, bank or office","Occupation: Clerks_Bookkeepers, cashiers and related workers not elsewhere classified_Cashiers, bank or office"
4_370_37020,"Clerks_Mail distribution clerks_Postal, mail and telegraph clerks","Occupation: Clerks_Mail distribution clerks_Postal, mail and telegraph clerks"
6_641_64100,Skilled agricultural and fishery workers_Fishermen_Fishermen,Occupation: Skilled agricultural and fishery workers_Fishermen_Fishermen
5_410_41010,"Service workers and shop and market sales_Working proprietors (wholesale and retail trade)_Dealer, merchant etc. (wholesale and retail trade)","Occupation: Service workers and shop and market sales_Working proprietors (wholesale and retail trade)_Dealer, merchant etc. (wholesale and retail trade)"
4_370_37040,Clerks_Mail distribution clerks_Messengers,Occupation: Clerks_Mail distribution clerks_Messengers
9_974_97420,"Elementary occupations_Earthmoving and related machinery operators_Road builders, workers and labourers","Occupation: Elementary occupations_Earthmoving and related machinery operators_Road builders, workers and labourers"
6_611_61110,Skilled agricultural and fishery workers_General farmers_General farmers and farmers nfs,Occupation: Skilled agricultural and fishery workers_General farmers_General farmers and farmers nfs
7_841_84110,Crafts and related trades workers_Machinery fitters and machine assemblers_Mechanics,Occupation: Crafts and related trades workers_Machinery fitters and machine assemblers_Mechanics
5_520_52020,Service workers and shop and market sales_Housekeeping and related service supervisors_Housekeeper,Occupation: Service workers and shop and market sales_Housekeeping and related service supervisors_Housekeeper
5_432_43020,Service workers and shop and market sales_Commercial travellers and Manufacturers' agents_Commercial travellers,Occupation: Service workers and shop and market sales_Commercial travellers and Manufacturers' agents_Commercial travellers
7_776_77620,"Crafts and related trades workers_Bakers, pastrycooks and confectionery makers_Bakers","Occupation: Crafts and related trades workers_Bakers, pastrycooks and confectionery makers_Bakers"
4_339_33190,"Clerks_Bookkeepers, cashiers and related workers not elsewhere classified_Bookkeeping, account and cash handling workers nec","Occupation: Clerks_Bookkeepers, cashiers and related workers not elsewhere classified_Bookkeeping, account and cash handling workers nec"
5_510_51020,Service workers and shop and market sales_Working proprietors (catering and lodging services)_Hotel keepers and managers,Occupation: Service workers and shop and market sales_Working proprietors (catering and lodging services)_Hotel keepers and managers
5_552_55240,"Service workers and shop and market sales_Charworkers, cleaners and related workers_Chimney sweeps","Occupation: Service workers and shop and market sales_Charworkers, cleaners and related workers_Chimney sweeps"
9_990_99140,"Elementary occupations_Labourers not elsewhere classified_Day labourers (e.g., journalier)","Occupation: Elementary occupations_Labourers not elsewhere classified_Day labourers (e.g., journalier)"
6_612_61320,Skilled agricultural and fishery workers_Specialised farmers_Farmer and fisherman,Occupation: Skilled agricultural and fishery workers_Specialised farmers_Farmer and fisherman
6_611_61115,Skilled agricultural and fishery workers_General farmers_Husbandmen or cottars,Occupation: Skilled agricultural and fishery workers_General farmers_Husbandmen or cottars
7_820_82000,Crafts and related trades workers_Stone cutters and carvers_Stone carvers or cutters and stone yard workers,Occupation: Crafts and related trades workers_Stone cutters and carvers_Stone carvers or cutters and stone yard workers
7_839_83860,"Crafts and related trades workers_Blacksmiths, toolmakers and machinetool operators not elsewhere classified_Wire makers","Occupation: Crafts and related trades workers_Blacksmiths, toolmakers and machinetool operators not elsewhere classified_Wire makers"
